Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
31464803,09/04/2015 12:00:00 AM,07/30/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11226,608 EAST   16 STREET,EAST   16 STREET,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,10/04/2015 09:47:26 PM,09/04/2015 10:00:30 PM,14 BROOKLYN,BROOKLYN,994691,170758,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63536168853866,-73.96238150661041,"(40.63536168853866, -73.96238150661041)"
31464858,09/04/2015 12:00:00 AM,09/15/2015 04:03:54 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,CLIFTON PLACE,CLIFTON PLACE,GRAND AVENUE,CLASSON AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,10/04/2015 08:15:29 PM,09/15/2015 04:03:54 PM,Unspecified BROOKLYN,BROOKLYN,994989,189929,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.687981487572934,-73.96127729131256,"(40.687981487572934, -73.96127729131256)"
31464871,09/05/2015 12:00:00 AM,10/08/2015 11:18:22 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11201,80 DEKALB AVENUE,DEKALB AVENUE,HUDSON AVENUE,NAVY STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,10/05/2015 01:08:57 AM,10/08/2015 11:18:22 AM,02 BROOKLYN,BROOKLYN,989874,190613,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68986363852689,-73.97972039707659,"(40.68986363852689, -73.97972039707659)"
31464877,09/04/2015 12:00:00 AM,09/10/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10003,315 EAST    5 STREET,EAST    5 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,10/04/2015 05:57:59 PM,09/10/2015 12:00:00 AM,03 MANHATTAN,MANHATTAN,987469,203973,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72653487825302,-73.98838620844788,"(40.72653487825302, -73.98838620844788)"
31464880,09/04/2015 12:00:00 AM,09/22/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11217,680 DEGRAW STREET,DEGRAW STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,10/04/2015 09:46:41 AM,09/22/2015 12:00:00 AM,06 BROOKLYN,BROOKLYN,989481,186387,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67826447404716,-73.98114079799706,"(40.67826447404716, -73.98114079799706)"
31464881,09/04/2015 12:00:00 AM,08/20/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11217,706 DEGRAW STREET,DEGRAW STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,10/04/2015 09:42:03 AM,09/04/2015 09:48:11 AM,06 BROOKLYN,BROOKLYN,989663,186295,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67801184544021,-73.98048471156775,"(40.67801184544021, -73.98048471156775)"
31464899,09/04/2015 12:00:00 AM,09/01/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10474,541 COSTER STREET,COSTER STREET,OAK POINT AVENUE,RANDALL AVENUE,,,ADDRESS,BRONX,,N/A,Pending,10/04/2015 06:27:25 AM,09/04/2015 06:45:59 AM,02 BRONX,BRONX,1015658,234772,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.811014878117945,-73.8865395881634,"(40.811014878117945, -73.8865395881634)"
31464977,09/04/2015 12:00:00 AM,09/18/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,135 EAST KINGSBRIDGE ROAD,EAST KINGSBRIDGE ROAD,CRESTON AVENUE,GRAND CONCOURSE,,,ADDRESS,BRONX,,N/A,Closed,10/04/2015 01:56:33 PM,09/18/2015 12:00:00 AM,07 BRONX,BRONX,1013284,254950,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86640570453644,-73.89502822968775,"(40.86640570453644, -73.89502822968775)"
31465664,09/04/2015 12:00:00 AM,09/14/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11201,177 COLUMBIA HEIGHTS,COLUMBIA HEIGHTS,,,,,LATLONG,BROOKLYN,,N/A,Closed,10/04/2015 06:50:25 PM,09/14/2015 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,985177,193259,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6971280345472,-73.99665696299859,"(40.6971280345472, -73.99665696299859)"
31465666,09/04/2015 12:00:00 AM,09/16/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10034,4915 BROADWAY,BROADWAY,WEST 204 STREET,WEST 207 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,10/04/2015 01:22:21 PM,09/16/2015 12:00:00 AM,12 MANHATTAN,MANHATTAN,1005817,255309,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86741245151251,-73.92202382717221,"(40.86741245151251, -73.92202382717221)"
31465667,09/04/2015 12:00:00 AM,09/10/2015 02:35:27 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2644 MARION AVENUE,MARION AVENUE,EAST 194 STREET,EAST 195 STREET,,,ADDRESS,BRONX,,N/A,Closed,10/04/2015 07:12:18 PM,09/10/2015 02:35:27 PM,07 BRONX,BRONX,1014428,254260,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86450802846447,-73.89089523494967,"(40.86450802846447, -73.89089523494967)"
31465721,09/04/2015 12:00:00 AM,09/28/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11363,344 MANOR ROAD,MANOR ROAD,EAST DRIVE,DOUGLAS ROAD,,,ADDRESS,Little Neck,,N/A,Closed,10/04/2015 12:25:09 PM,09/28/2015 12:00:00 AM,11 QUEENS,QUEENS,1054264,222458,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77699482003529,-73.7472055635315,"(40.77699482003529, -73.7472055635315)"
31465722,09/04/2015 12:00:00 AM,09/04/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,2239 ADAMS PLACE,ADAMS PLACE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,N/A,Closed,10/04/2015 04:03:52 PM,09/04/2015 04:10:44 PM,06 BRONX,BRONX,1014888,249826,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85233645353915,-73.88925243168333,"(40.85233645353915, -73.88925243168333)"
31465723,09/04/2015 12:00:00 AM,08/21/2015 04:34:05 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11238,15 BUTLER PLACE,BUTLER PLACE,PLAZA STREET,STERLING PLACE,,,ADDRESS,BROOKLYN,,N/A,Pending,10/04/2015 10:16:29 AM,09/04/2015 10:28:01 AM,08 BROOKLYN,BROOKLYN,993000,185202,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67500913771952,-73.9684553689256,"(40.67500913771952, -73.9684553689256)"
31465787,09/04/2015 12:00:00 AM,07/22/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11215,456 5 STREET,5 STREET,6 AVENUE,7 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,10/04/2015 02:08:23 PM,09/04/2015 02:10:30 PM,06 BROOKLYN,BROOKLYN,989671,183279,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66973359862118,-73.98045829518321,"(40.66973359862118, -73.98045829518321)"
31466360,09/05/2015 12:00:00 AM,09/10/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10453,,,,,MORTON PLACE,UNIVERSITY AVENUE,INTERSECTION,BRONX,,N/A,Closed,10/05/2015 09:37:02 AM,09/10/2015 12:00:00 AM,05 BRONX,BRONX,1007801,249348,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.851046234124794,-73.91487156130975,"(40.851046234124794, -73.91487156130975)"
31466388,09/05/2015 12:00:00 AM,09/09/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10472,1420 HARROD AVENUE,HARROD AVENUE,EAST 174 STREET,CROSS BRONX EXPRESSWAY,,,ADDRESS,BRONX,,N/A,Closed,10/05/2015 08:58:30 PM,09/09/2015 12:00:00 AM,09 BRONX,BRONX,1018891,243321,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83446735296425,-73.87481635822843,"(40.83446735296425, -73.87481635822843)"
31467192,09/05/2015 12:00:00 AM,09/17/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11361,211-49 45 DRIVE,45 DRIVE,211 STREET,BELL BOULEVARD,,,ADDRESS,Bayside,,N/A,Closed,10/05/2015 01:40:03 PM,09/17/2015 12:00:00 AM,11 QUEENS,QUEENS,1047761,215670,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.758412702764474,-73.77074950009586,"(40.758412702764474, -73.77074950009586)"
31467223,09/05/2015 12:00:00 AM,09/10/2015 04:30:40 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10468,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,N/A,Closed,10/05/2015 07:05:29 AM,09/10/2015 04:30:40 PM,05 BRONX,BRONX,1012082,252034,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
31467230,09/05/2015 12:00:00 AM,09/22/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10302,18 MONTELL STREET,MONTELL STREET,DECKER AVENUE,LA GRANGE PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/05/2015 06:29:53 PM,09/22/2015 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,945996,168290,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.628511108844286,-74.13781349312268,"(40.628511108844286, -74.13781349312268)"
31467245,09/05/2015 12:00:00 AM,07/27/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10035,149 EAST  118 STREET,EAST  118 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,10/05/2015 01:38:27 PM,09/05/2015 01:47:57 PM,11 MANHATTAN,MANHATTAN,1000780,230666,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79978540680687,-73.94029598058023,"(40.79978540680687, -73.94029598058023)"
31467251,09/05/2015 12:00:00 AM,09/09/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,11215,566 CARROLL STREET,CARROLL STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,10/05/2015 05:59:01 PM,09/09/2015 12:00:00 AM,06 BROOKLYN,BROOKLYN,988907,185515,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.675871351588924,-73.98321082927473,"(40.675871351588924, -73.98321082927473)"
31468004,09/05/2015 12:00:00 AM,09/10/2015 04:31:48 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2454 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST 187 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,N/A,Closed,10/05/2015 11:37:44 AM,09/10/2015 04:31:48 PM,05 BRONX,BRONX,1013166,252800,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.860504996166966,-73.89546413199993,"(40.860504996166966, -73.89546413199993)"
31468015,09/05/2015 12:00:00 AM,11/06/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Hospital,11212,,,,,AMBOY STREET,LINDEN BOULEVARD,INTERSECTION,BROOKLYN,,N/A,Closed,10/05/2015 06:25:24 PM,11/06/2015 12:00:00 AM,16 BROOKLYN,BROOKLYN,1009025,177624,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65417887501159,-73.9107115042918,"(40.65417887501159, -73.9107115042918)"
31468100,09/05/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11207,556 CENTRAL AVENUE,CENTRAL AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Assigned,10/05/2015 06:59:27 PM,09/05/2015 07:03:49 PM,Unspecified BROOKLYN,BROOKLYN,1008741,190730,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.690152677889245,-73.91168741324861,"(40.690152677889245, -73.91168741324861)"
31468121,09/05/2015 12:00:00 AM,10/16/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10011,156 WEST   20 STREET,WEST   20 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,10/05/2015 09:52:50 PM,10/16/2015 12:00:00 AM,04 MANHATTAN,MANHATTAN,985433,209491,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.741680936440744,-73.99573089820112,"(40.741680936440744, -73.99573089820112)"
31468153,09/05/2015 12:00:00 AM,09/09/2015 04:19:27 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,59-05 DECATUR STREET,DECATUR STREET,,,,,LATLONG,RIDGEWOOD,,N/A,Closed,10/05/2015 04:15:56 PM,09/09/2015 04:19:27 PM,Unspecified QUEENS,QUEENS,1012707,193995,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.699102476684146,-73.8973725532681,"(40.699102476684146, -73.8973725532681)"
31468177,09/05/2015 12:00:00 AM,09/18/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10007,,,,,LAFAYETTE STREET,DUANE STREET,INTERSECTION,NEW YORK,,N/A,Closed,10/05/2015 10:45:28 PM,09/18/2015 12:00:00 AM,01 MANHATTAN,MANHATTAN,983306,199461,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71415106104559,-74.00340521349969,"(40.71415106104559, -74.00340521349969)"
31468894,09/05/2015 12:00:00 AM,09/09/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10026,2082 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST 112 STREET,WEST 113 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,10/05/2015 10:37:38 PM,09/09/2015 12:00:00 AM,10 MANHATTAN,MANHATTAN,996173,231563,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80225484364876,-73.95693421623459,"(40.80225484364876, -73.95693421623459)"
31468978,09/05/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11207,558 CENTRAL AVENUE,CENTRAL AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Assigned,10/05/2015 07:00:18 PM,09/05/2015 07:03:51 PM,Unspecified BROOKLYN,BROOKLYN,1008757,190718,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69011969637946,-73.91162976222058,"(40.69011969637946, -73.91162976222058)"
31468979,09/05/2015 12:00:00 AM,09/09/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10027,147 WEST 123RD STREET,WEST 123RD STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,10/05/2015 09:57:02 PM,09/09/2015 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,998580,233466,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80747447820436,-73.94823609087399,"(40.80747447820436, -73.94823609087399)"
